Tag,Num_Clusters,Arrival,Departure,Stopover_Clusters,Total_Days
80800,12,2023-09-22 04:27:23.221899986,2023-10-11 05:02:49.698899984,10,20
80801,2,2023-09-23 03:59:24.295399904,2023-09-24 07:55:34.963099957,0,2
80802,5,2023-09-23 03:59:22.998399973,2023-09-24 05:07:01.935600042,3,2
80803,4,2023-09-23 04:29:11.520499944,2023-09-23 09:30:17.847300053,2,1
80804,7,2023-09-25 02:29:03.864000082,2023-09-25 06:44:12.051100016,5,1
80805,5,2023-09-25 04:43:24.953299999,2023-10-21 02:53:12.563999891,3,27
80806,32,2023-09-25 05:51:21.110699892,2023-09-26 02:31:11.818399906,30,2
80807,19,2023-09-25 06:19:11.416399956,2023-09-29 04:20:59.329200029,17,5
80808,17,2023-09-25 06:44:39.853199959,2023-09-25 08:28:44.045799971,15,1
80809,3,2023-09-26 02:29:23.427400112,2023-09-28 02:44:19.431600094,1,3
80810,2,2023-09-27 03:44:26.923799992,2023-10-03 18:59:18.468499899,0,7
80812,3,2023-09-28 03:13:56.573400021,2023-09-28 05:36:34.435800076,1,1
80813,2,2023-09-28 04:01:18.992000103,2023-09-28 08:27:33.868599892,0,1
80814,22,2023-09-26 05:29:11.596100092,2023-10-08 03:47:54.387200117,20,13
80815,5,2023-09-28 05:14:44.578900099,2023-10-01 02:34:04.979000092,3,4
80816,4,2023-09-28 05:47:59.169199944,2023-09-28 08:10:05.355200052,2,1
80817,32,2023-10-05 02:34:58.226500034,2023-10-06 03:07:47.155900002,30,2
80818,3,2023-10-05 03:56:22.651299953,2023-10-06 03:15:45.193700075,1,2
80819,13,2023-10-05 04:18:35.028500080,2023-10-06 02:35:36.011199951,11,2
80820,12,2023-10-05 05:16:30.036000013,2023-10-06 03:33:01.018399954,10,2
80821,24,2023-10-05 05:33:27.557699919,2023-11-05 01:19:45.635400057,22,32
80822,23,2023-10-06 03:59:22.256000041,2023-10-19 02:46:09.824100018,21,14
80823,3,2023-10-06 04:59:06.163300037,2023-10-07 02:27:33.081399918,1,2
80824,3,2023-10-06 05:59:09.902800083,2023-10-06 16:07:11.810300112,1,1
80826,2,2023-10-06 06:59:24.529700041,2023-10-06 11:29:21.385699987,0,1
80827,12,2023-10-12 04:58:58.908999920,2023-11-11 01:49:47.813600063,10,31
80828,10,2023-10-12 04:59:01.924000025,2023-10-12 06:35:10.480000019,8,1
80829,11,2023-10-12 04:59:10.574500084,2023-10-21 04:18:51.748500109,9,10
80830,14,2023-10-12 05:44:07.535700083,2023-12-30 04:13:10.848200083,12,80
80832,18,2023-10-12 06:44:25.993700027,2023-10-13 03:14:47.776099920,16,2
80833,7,2023-10-14 03:44:17.568000078,2023-10-14 06:22:46.329900026,5,1
80834,25,2023-10-14 06:44:27.815700054,2023-10-15 11:36:03.345900059,23,2
80835,19,2023-10-14 07:44:12.330199957,2023-10-15 05:20:53.877599955,17,2
80837,14,2023-10-18 04:29:28.221999884,2023-10-18 06:35:12.003200054,12,1
80838,15,2023-10-18 04:28:58.138900042,2023-10-18 07:58:41.057300091,13,1
80839,17,2023-10-18 04:59:06.607300043,2023-10-18 05:28:41.593600035,15,1
80840,13,2023-10-18 07:29:18.463399887,2023-10-19 02:10:16.115600109,11,2
